"","year","fips","leaid","enr_lep","enr_all","psenr_lep","psenr_all","ratio_lep"
"39",2017,"Alabama","0100198",0,20,-2,-2,0
"40",2017,"Alabama","0100210",692,8623,-17,32,0.0802504928679114
"41",2017,"Alabama","0100240",218,9085,-23,30,0.0239955971381398
"42",2017,"Alabama","0100270",1101,31844,11,658,0.0345748021605326
"43",2017,"Alabama","0100330",116,3570,-14,-14,0.0324929971988796
"44",2017,"Alabama","0100360",59,3159,-7,78,0.0186767964545742
"45",2017,"Alabama","0100390",890,23327,-11,705,0.0381532130149612
"46",2017,"Alabama","0100420",478,7774,-22,32,0.0614870079753023
"47",2017,"Alabama","0100450",8,1114,-6,-6,0.00718132854578097
"48",2017,"Alabama","0100480",195,1418,-4,40,0.137517630465444
"49",2017,"Alabama","0100510",23,3060,-6,141,0.00751633986928105
"50",2017,"Alabama","0100540",274,8642,-16,184,0.031705623698218
"51",2017,"Alabama","0100600",24,3542,-12,96,0.00677583286278938
"52",2017,"Alabama","0100630",20,3940,-8,60,0.0050761421319797
"53",2017,"Alabama","0100660",396,7654,3,169,0.0517376535145022
"54",2017,"Alabama","0100690",3,1363,-4,32,0.00220102714600147
"55",2017,"Alabama","0100720",6,2571,-10,93,0.00233372228704784
"56",2017,"Alabama","0100750",50,1923,-4,28,0.0260010400416017
"57",2017,"Alabama","0100780",11,2584,-6,61,0.00425696594427245
"58",2017,"Alabama","0100810",53,2014,-2,88,0.0263157894736842
"59",2017,"Alabama","0100840",21,2584,-2,148,0.00812693498452012
"60",2017,"Alabama","0100870",18,1853,-5,102,0.00971397733405289
"61",2017,"Alabama","0100900",19,879,-6,-6,0.0216154721274175
"62",2017,"Alabama","0100930",6,3116,-10,81,0.00192554557124519
"63",2017,"Alabama","0100960",37,2224,0,80,0.016636690647482
"64",2017,"Alabama","0100990",132,3251,10,82,0.0406028914180252
"65",2017,"Alabama","0101020",750,9641,-43,26,0.0777927600871279
"66",2017,"Alabama","0101050",41,3197,-16,-16,0.0128245229903034
"67",2017,"Alabama","0101080",83,938,-4,-4,0.0884861407249467
"68",2017,"Alabama","0101110",12,3180,-12,121,0.00377358490566038
"69",2017,"Alabama","0101140",2542,8878,-8,164,0.286325749042577
"70",2017,"Alabama","0101170",1814,8849,-16,246,0.204994914679625
"71",2017,"Alabama","0101200",55,2309,-4,45,0.0238198354265916
"72",2017,"Alabama","0101230",205,9359,11,505,0.0219040495779464
"73",2017,"Alabama","0101260",8,617,-2,17,0.0129659643435981
"74",2017,"Alabama","0101290",381,11843,-24,82,0.0321709026429114
"75",2017,"Alabama","0101320",687,7216,-15,99,0.0952050997782705
"76",2017,"Alabama","0101350",19,4237,-13,74,0.00448430493273543
"77",2017,"Alabama","0101380",353,8460,-28,70,0.041725768321513
"78",2017,"Alabama","0101410",139,2520,-6,125,0.0551587301587302
"79",2017,"Alabama","0101440",52,1699,-8,-8,0.0306062389640965
"80",2017,"Alabama","0101470",10,2323,-8,26,0.00430477830391735
"81",2017,"Alabama","0101530",360,4362,-14,-14,0.0825309491059147
"82",2017,"Alabama","0101560",840,3229,-6,90,0.260142458965624
"83",2017,"Alabama","0101590",324,3788,-5,91,0.0855332629355861
"84",2017,"Alabama","0101620",741,5200,-14,80,0.1425
"85",2017,"Alabama","0101640",1,1149,-6,-6,0.000870322019147084
"86",2017,"Alabama","0101660",85,2996,-12,99,0.0283711615487316
"87",2017,"Alabama","0101680",17,1083,-4,32,0.0156971375807941
"88",2017,"Alabama","0101690",58,1926,-3,35,0.0301142263759086
"89",2017,"Alabama","0101710",26,2563,-7,70,0.0101443620756925
